id,nome,ano,sinopse,genero
127,Hamnet: A Vida Antes de Hamlet,2025,"Um dos mais importantes escritores do cânone ocidental, William Shakespeare vive uma tragédia ao lado de sua esposa Agnes quando o casal perde o...",Drama
128,Oppenheimer,2023,"A história do físico americano J. Robert Oppenheimer, seu papel no Projeto Manhattan e no desenvolvimento da bomba atômica durante a Segunda...",Drama
129,Superman,2025,"Superman, um jovem repórter de Metrópolis, embarca em uma jornada para reconciliar sua herança kryptoniana com sua criação humana como Clark Kent.",Ficção
130,Hellfire,2026,Um andarilho com um passado misterioso chega a uma pequena cidade e descobre que os moradores estão sob o controle de um chefe do crime...,Ação
131,O Sobrevivente,2025,"Em um futuro próximo, ""O Sobrevivente"" é o show de maior audiência na televisão – uma competição mortal onde os participantes precisam sobreviver...",Ação
132,Meu Nome é Agneta,2026,"Ansiosa por um recomeço e desempregada, Agneta aceita trabalhar como au pair na Provença, uma mudança de cenário muito bem-vinda — acompanhada de...",Comédia
133,Inteligência Humana,2026,"Ao investigar um cartel russo, um agente sul-coreano fica cara a cara com um agente norte-coreano, e ambos são dragados por perigos e segredos.",Suspense
134,A Lista de Schindler,1993,O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência...,Drama
135,Oppenheimer,2023,"A história do físico americano J. Robert Oppenheimer, seu papel no Projeto Manhattan e no desenvolvimento da bomba atômica durante a Segunda...",Drama
136,Kung Fu Panda 4,2024,"Po está prestes a se tornar o novo líder espiritual do Vale da Paz, mas antes que possa fazer isso, ele deve encontrar um sucessor para se tornar...",Ação
137,Beekeeper: Rede de Vingança,2024,"Clay está em busca de vingança e não vai parar até acabar com o sistema criminoso responsável pela morte de sua amiga. O plano brutal de Clay, um...",Ação
138,Bom Caminho,2025,"Um pai decide percorrer o Caminho de Santiago a pé em busca da filha desaparecida. A cada passo, ele aprende a se tornar um homem melhor.",Comédia
139,Casamento Sangrento,2019,"Grace acaba de se casar com o herdeiro milionário de uma família especializada em jogos de tabuleiro. Antes de realmente integrar a família, no...",Terror
140,Seven - Os Sete Crimes Capitais,1995,"Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma...",Crime
141,O Poderoso Chefão: Parte II,1974,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black...",Drama
142,Shrek,2001,"Há muito tempo, em um pântano muito remoto, vivia um ogro feroz chamado Shrek. Um dia, sua solidão é interrompida por uma invasão de personagens...",Animação
143,Drácula - Uma História de Amor Eterno,2025,"No século XV, o príncipe Vlad II perde o seu amor, a princesa Elisabeta. Tomado pela dor, rejeita a Deus e herda uma maldição eterna: vira o Conde...",Terror
144,Avatar: O Caminho da Água,2022,"12 anos depois de explorar Pandora e se juntar aos Na'vi, Jake Sully formou uma família com Neytiri e se estabeleceu entre os clãs do novo mundo....",Ação
145,Star Wars: Os Últimos Jedi,2017,"A tranquila e solitária vida de Luke Skywalker sofre uma reviravolta quando ele conhece Rey, uma jovem que mostra fortes sinais da Força. O desejo...",Aventura
146,Minha Querida Senhorita,2026,"Uma jovem de família tradicional descobre que é intersexo, dando início a uma jornada de autodescoberta, identidade de gênero e encontrando o amor...",Drama
147,Harry Potter e a Pedra Filosofal,2001,"Harry Potter é um garoto órfão que vive infeliz com seus tios, os Dursley. Em seu aniversário de 11 anos ele recebe uma carta que mudará sua vida:...",Aventura
148,Vingadores: Ultimato,2019,"Após os eventos devastadores de ""Vingadores: Guerra Infinita"", o universo está em ruínas devido aos esforços do Titã Louco, Thanos. Com a ajuda de...",Aventura
149,180,2026,"Depois que um incidente no trânsito deixa seu filho em estado crítico, um pai com sangue nos olhos embarca em um caminho sombrio de caos e vingança.",Suspense
150,A Lista de Schindler,1993,O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência...,Drama
151,Irreversível,2002,"O filme narra, de trás para frente, a história de uma vingança. A primeira seqüência mostra dois amigos desesperados, Marcus (Vincent Cassel) e...",Drama
152,Inteligência Humana,2026,"Ao investigar um cartel russo, um agente sul-coreano fica cara a cara com um agente norte-coreano, e ambos são dragados por perigos e segredos.",Suspense
153,Hamnet: A Vida Antes de Hamlet,2025,"Um dos mais importantes escritores do cânone ocidental, William Shakespeare vive uma tragédia ao lado de sua esposa Agnes quando o casal perde o...",Drama
154,Coraline e o Mundo Secreto,2009,"Entediada em sua nova casa, a pequena Coraline descobre uma porta secreta que contém um mundo parecido com o dela, porém melhor em muitas...",Animação
155,Your name.,2016,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja...",Animação
156,Star Wars: O Mandaloriano e Grogu,2026,O maligno Império caiu e os senhores da guerra Imperiais ainda estão espalhados pela galáxia. Enquanto a jovem Nova República luta para proteger...,Aventura
157,O Senhor dos Anéis: As Duas Torres,2002,"Após a captura de Merry e Pippin pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para...",Aventura
158,Duna,2021,"Em um futuro distante, planetas são comandados por casas nobres que fazem parte de um império feudal intergalático. Paul Atreides é um jovem cuja...",Ficção
159,Meu Malvado Favorito 4,2024,"Nesta sequência, o vilão mais amado do planeta retorna e agora Gru, Lucy, Margo, Edith e Agnes dão as boas-vindas a um novo membro da família: Gru...",Ação
160,Ne Zha 2: O Renascer da Alma,2025,"Após uma grande catástrofe, as almas de Ne Zha e Ao Bing são salvas, mas seus corpos enfrentam a ruína. Para lhes dar uma nova vida, Taiyi Zhenren...",Animação
161,Avatar,2009,"Apesar de não ter mais os movimentos da perna, o ex-fuzileiro naval Jake Sully ainda sente que pode ser um guerreiro. Sua intuição começa a se...",Ficção
162,O Lobo de Wall Street,2013,"Durante seis meses, Jordan Belfort trabalhou duro em uma corretora de Wall Street, seguindo os ensinamentos de seu mentor Mark Hanna. Quando...",Crime
163,Homem-Aranha: Através do Aranhaverso,2023,"Miles Morales retorna para o próximo capítulo da saga do Aranhaverso, uma aventura épica que transportará o Homem-Aranha em tempo integral e...",Animação
164,Três Homens em Conflito,1966,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que...",Faroeste
